text,label
"자꾸 아 이건 다들 초등학교때 배웠을 텐데~ 하면서 설명 생략하시는데
그거 고딩 화2 과정이엇는디요...
기만 대박임",0
시험이 11월에 끝나는 ㅂㅅ이 있다?,0
"연애하고 싶다 이런건 아니고 (이미 남친 있음)

최근에 축하 받을 일 생겼는데 남친은 포항에 있지, 부모님은 외국에 계시지 우리 친척들은 나한테 관심 없지 내 친한 친구 2명은 맨날 바쁘대지 학교에 친구 없지

진짜 혼밥 하면서 내 자신을 축하해주는 내 모습이 너무 쓸쓸해보여...",0
"이제 복전이라고 뜨게 주잖아... 그래도 회사에서 볼 때는 복전이라도 상경학위 있는게 더 낫겠지?
물론 스펙이 비슷한데 상경 복전, 상경 원전공 있으면 원전공자를 뽑겠지만 아예 복전도 안 한것 보다는 좋겠지?
아니 이제 복전 뜨니깐 소용없으니 그냥 복전 하지말라고 부모님이 그러시더라고",0
"오뚜기 정신을 본받아 숱한 실패에도 마음을 다잡고 다시 도전하는 사람이 멋진 사람이다.
멋진 사람이 되고자 멋져 보이는 사람들 곁에 있으려 노력했고 스스로도 부단히 반성했지만 능력 부족으로 스스로에 대한 확신도, 비전도, 끈기도, 열정도 사라져 스스로가 생각하기에 가장 혐오스러운 회색 사람이 되어 버렸다.
자타공인의 좋은 피드백을 받을 정도로 잘 해야 하는데 그렇지 못함에 슬프다.
과정 속에 있어서 온전한 결과물이 어떨지 알지 못하기에 더더욱 타인 앞에 나설 수 없고 위축되는 것 같다.
자꾸만 늦잠을 자고 싶고
이불 속에서 나오기 싫고
밖으로 도망가거나
책상 밑으로 숨고 싶은 건
이런 이유에서일 거라 생각한다.",1
살려주세요...,1
"내가 워낙 완벽주의자이기도하고 학업, 예체능 등을 포함한 여러 면에서 오빠보다 출중하단말이야 (객관적으로 다들 그렇게 말해, 가족제외)
그래서 그런지 엄마는 더 오빠 기 세워주려고 하는 말인지 맨날 오빠는 손재주가 참 좋다, 성격이 참 좋다, 재능이 있다,, 이렇게 직접적으로 좋은 말을 많이 해주는데
나한테는 절대 칭찬 안 해줘, 공부 잘해도 그냥 그러려니, 다른 것들도 남이 엄마한테 "" **이 참 이것저것 다 잘한다~"" 라고 말하면 항상 ""**이는 뭐든 열심히 해, 노력하는 스타일이야"" 이런식으로만 말해.
물론 맞는 말이야, 난 어릴적부터 애정결핍이였던 것 같고 그래서 더 열심히 살았고 뭐든 오빠보다는 잘 하려고 했었어, 노력파가 맞아, 하지만 어른이 되었고 시간이 많이 흘렀는데도 엄마한테 항상 서운한 마음이야. 그래서 더 틱틱대고 소통하기 싫어져, 가장 나를 아껴주고 보듬어줘야 할 사람이 되려 내 자존감 깎고 있는 것 같아서 솔직히 마주보고싶지도 않아.
그런데 엄마도 마음이 여려서 요즘 우울해보인단 말이지, 그 모습을 내가 또 그냥 못봐서 잘해주고 싶어해, 그런데 내가 좋은 곳 데려가고 기쁘게 해주려 해도 엄마는 뭐든 오빠랑 하고싶어하는 것 같고 나랑 있는 걸 별로 안 좋아하는 것 같아서.. 그냥 뫼비우스의 띠 같아.

다들 집에서 어때
혹시 나처럼 차별대우 당하는 사람 또 있니..",0
자리좀 반납하구가라ㅠ,0
"괜찮아, 안 괜찮아도.

집중이 안 되어도, 하루종일 멍해도
괜히 불안해하지 말고
할 수 있는 일을 하나씩 해봐",1
"차 타고 가야되나

시즌권 살 건데 좀 머네..?",0
다시태어나고싶다,1
며칠 전엔 족보 사기당했다는 글 있었는데 오늘은 아이패드네,0
공부하다 졸았는데 잠이 확깨네 시발시발시발,0
죽고싶다,1
"우울증 자조모임 하실분 구해요 세명이상부터 진행할거고 한분만 더 구해지면 시작할려구요! 일 이주에 한번 모여서 서로의 힘든점 극복 방법 하루를 어떻게 보냈는지 어떻게 보내고 싶은지 등에 대해 이야기 하려고 합니다.
익명으로 오셔서 서로 나이 이름 학과등은 안 물어볼 예정이구요.
장소는 율전입니다.",1
ㅇㅅㅇ !!,0
자꾸 벗겨지는데 구두 수선집? 가면 되나..??,0
"건강하지 않은 것 아닐까 싶은 생각이 요즘 들어. 그냥 별 대단한 이유는 없는데 한번 기분이 가라앉으면 그걸 감당하지 못하겠어. 그냥 단순히 내가 약한걸까? 어제는 그냥...나가야 하는데 옷이 너무 안 예뻐서, 내가 너무 뚱뚱해서, 기분이 안 좋은거야. 그래서 하루종일 기분이 안 좋았어. 그것 때문에 내내 안 좋은건 아니었는데, 그냥 그걸 시작으로 그 다음엔 이유도 없이 그냥 기분이 안 좋았어. 거기에 사로잡혀서 아무것도 못했어. 그냥 그에 섞여 죽을 것처럼. 오늘도 그래. 그냥 대화가 잘 안 풀려서 기분이 안 좋았는데, 그거로 또 확 가라앉네. 그냥 또. 그냥 내가 한심한 것 같아. 그냥 내가 한심해. 그냥 내가 한심한 탓인 것 같아. 남들은 그렇게 열심히 살고 그렇게 이겨내고 그렇게 멋지게 사는데 나는 고작 옷이 안 예뻐서 대화가 안 풀려서 이러고 있다는게 나는 너무 약한걸까 이것마저 자기연민일까.",1
수원이나 서울에 좋은 상담센터 추천받아요 인지치료 가능한 곳이면 더 좋구요,1
"자존감이 너무 낮은 애들
어떻게 극복했니 ㅠ
난 내 상태를 아니까 티 안내려고
남들한텐 괜찮아보이려고 엄청 노력하는데
혼자 있으면 너무 무기력해져.......",1
우울이 디폴트가 된 지 오래되니까 벗어날 방법도 모르겠고.. 그냥 꾸역꾸역 산다 기계처럼,1
진짜 절대 못하나요? 학교에 전화해도 안되나요?,0
1번문제 쪽지보냈는데 채팅창에 18번에 쓰라고 공지했다고..ㅋㅋㅋㅋㅋ 혹시 확인한 사람 있어? 답쓰느라 시간 부족해서 확인못했는데..,0
"친구도 없고 애인도 없고 하고 싶은 일도 없다 허허
나 진짜 한심해",1
