tweet,label
별이야!!!!!! https://t.co/0ayXZJeew1,0
"아아아아아ㅏ아아ㅏ
피곤한데 오랜만에 틧터하면서 밤 샐래
같이 하실 분? 없으면 #미어캣즈 랑 하구..",1
"바둑아!!
개자쓱아 경인선 갔으면 화끈하게~마~
백신 마자쁘라
쪽팔리게스루 뭔 쏘질이고~
망신스러 못살게따~
머스마가 부랄달고 뭐하는 짓이고~
나가 죽어라
니들이 존경하는 베네슈엘라 차베스는 마자뿌따
개자쓱~나가 죽어삐라 https://t.co/BsQ2aVM7u8",1
"외롭다,,,누가 나한테 고백 좀 해주시와요
#트친소 #게친소 #게이들 https://t.co/WAkRGNK5VH",1
갑자기업노말재탕중 역시마음의고향이에 https://t.co/5pvwPLEnaN,0
"잘 안 붙어서 떡칠햇지만 정리하면 되고, 24시간 안정시킨 후 핀 박자🙂 https://t.co/m4wZguhxtx",1
이거 뭔지 맞추시면 소원권 천만개드림 https://t.co/SkRQYQmTy5,0
리듬게임 실력 갑자기 겁나 퇴화돼버렸음... 우울해..ㅠㅠㅠㅠㅠㅠㅠ,1
생각할땐 재밌었는데 그리니까 노잼됨... https://t.co/pIRLoHi7Bv,0
"서울시·25개 자치구, 내달 초 재난지원금 5000억 지급 | 다음 뉴스 https://t.co/3Vs7RmYcpU 개인택시 기사들은 이방인인가요? 왜 제외 시켰나요?  개인택시도 끼어주세요! 힘들어 죽겠어요?",1
"2020년 하반기는 7월이 고비였고, 다행이 뒤로 갈수록 좋음의 상태가 훨씬 많은 날을 차지함. 올해는 감정 일기를 써볼까 하여 새로운 어플을 다운 받았다. 2021년도 나를 잘 들여다 봐야지. https://t.co/2G4Keabfx6",1
우울해서 죽는 거보다 범규 얼굴보고 죽는 게 더 빠를 듯 https://t.co/pHOVDutSDd,1
"벌써 올 해가 다 갔네... 유난히 올 한해는 힘들었지? 조금 이르지만, 다들 수고 많았어.",0
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 언니 왜 저러냐 
ㅋㅋㅋㅋㅋ",0
1-2년 공들였다가 결국 무용하게 된 일의 형식 만들기를 그대로 다시 따라가고 있다는 기억이 지겹다못해 스트레스를 주는 듯.,1
"와점점해가뜨고있어요느낌표
#엥_뭐야
제방이점점밝아지고있습니다잉",0
음...... [원격 유도 장치] #워크래프트 https://t.co/DSDuMxNi1q,0
"난 하고 싶은 게 너무 많다.
세상 모든 언어 다 하고 싶고 번역도 하고 싶고 책도 한번 직접 (그것도 한국어로) 내 보고 싶고 기타 피아노 더 잘하고 싶고 작사작곡 더 많이 하고 싶고 사진도 찍고 싶고 영상도 만들고 싶고 코딩도 언젠가 한번 좀 배우고 싶고...
이런 욕심쟁이가 따로 없다. ㅋㅋ",0
2.80?점,0
"제품명 : ANDROID-FPUK8190
등록된 제품명 : 【서문교 】
보고된 오류내용 :
등록된 「전 애인」를 적대하는 행동양상을 보입니다.
원인검증결과 : 외부 데이터의 비정상적 유입.
해결책 제안 : 자립형 감정 프로세스 설정 해제
#안당오 #shindanmaker
https://t.co/99erWTOFf9",1
아~~ 스쿠나도 심심하다는 감정을 느낄까??  이타도리 영화볼때 관심없는척하면서 실은 전부 같이 본거아님?? ㅋㅋ 사실 이타도리가 다른사람과 조금이라도 진도나간다싶으면 꼰대짓인지 질투인진 몰라도 괜히 튀어나와서 방해하는 스쿠나 보고싶다.. 끝까지 질투는 아니라고 우기는 스쿠나할배..,1
이 둘 지원회화 끝까지 보면 역시 지옥 끝까지 함께 할 여자들같으니... 하다가도 정작 벨레스로 이 여자들이랑 결혼은 못 해서 나를 깊은 절망에 빠지게 함,1
와 이거 둘다 넘 예쁘다 ㅠ https://t.co/aKp7OdjtbS,0
"취임식 하러 가는기가?
죽으러?
ㅋㅋㅋ https://t.co/mTGznuGpio",1
"우리밍구리언니
#민주로_물든지금_영원해
민주언니생일축하해요
#AngelicMinjuDay
밍구리언니위즈원의영원한밍구리",0
둥차..너무조와,0
#ㅌㅇㅌㅇㅈ 다들 맛저ღღ https://t.co/5JQi63mFgV,0
"표정 풀고 피곤해서 그랬다며 마른 세수 하는데 연하 갑자기 덜컥 겁이 나지...
아무래도 전부 당연하다고 생각해왔는데 그게 아닌 것 같아서... 그러나 자신을 불편하게 만드는 어떤 죄책감의 발원지는 알아채지 못하고...
먼저 가방 들고 자리 피하는 형 뒷모습 바라볼 수밖에 없는..
그런 윈샤..",1
제 새 오너에유 이쁘쥬 https://t.co/x5q7Od8Cbv,0
"맨날 쉬고싶다 노래를 불렀더니
이런식으로 보답받을 줄이야

내가 마법소녀 계약을 한건가?",0
롤하구싶다,0
"한 번 배웠다 하면 재결제율 200%☄️

아직도 혼자 끙끙 앓아가며 안되는 부분, 막히는 부분에 좌절하고 계신가요?

리그오브레전드 의 유미 목소리의 주인공🐈
유쾌, 상쾌, 통쾌 그대로의 수업으로 입소문이 파다~한 김수영 성우님에게 오세요! https://t.co/MwAJ7rLB02",0
사촌한테 받았어요!,0
